[2026-07-10 06:05:16,093] [AKAZA] INFO :: Smart filter rejected 1 trash entries (URLs, log lines, non-proxy ports, etc.)
[2026-07-10 06:05:16,094] [AKAZA] INFO :: Smart filter rejected 1 trash entries (URLs, log lines, non-proxy ports, etc.)
[2026-07-10 06:05:16,094] [AKAZA] INFO :: Smart filter rejected 1 trash entries (URLs, log lines, non-proxy ports, etc.)
[2026-07-10 06:05:16,094] [AKAZA] INFO :: Smart filter rejected 1 trash entries (URLs, log lines, non-proxy ports, etc.)
[2026-07-10 06:05:41,570] [AKAZA] INFO :: Smart filter rejected 1 trash entries (URLs, log lines, non-proxy ports, etc.)
[2026-07-10 06:05:41,571] [AKAZA] INFO :: Smart filter rejected 1 trash entries (URLs, log lines, non-proxy ports, etc.)
[2026-07-10 06:05:41,571] [AKAZA] INFO :: Smart filter rejected 1 trash entries (URLs, log lines, non-proxy ports, etc.)
[2026-07-10 06:05:41,571] [AKAZA] INFO :: Smart filter rejected 1 trash entries (URLs, log lines, non-proxy ports, etc.)
[2026-07-10 06:06:33,131] [AKAZA] INFO :: Smart filter rejected 1 trash entries (URLs, log lines, non-proxy ports, etc.)
[2026-07-10 06:06:33,131] [AKAZA] INFO :: Smart filter rejected 1 trash entries (URLs, log lines, non-proxy ports, etc.)
[2026-07-10 06:06:33,131] [AKAZA] INFO :: Smart filter rejected 1 trash entries (URLs, log lines, non-proxy ports, etc.)
